metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness,confidence_threshold,iou_threshold
0.9495234475981983,0.9234449760765551,0.9590643609866651,0.7890153408462529,0.7890153408462529,0.05,0.45
0.9495234475981983,0.9234449760765551,0.9590643609866651,0.7890153408462529,0.7890153408462529,0.05,0.5
0.9495234475981983,0.9234449760765551,0.9590643609866651,0.7890153408462529,0.7890153408462529,0.05,0.55
0.9495234475981983,0.9234449760765551,0.9590643609866651,0.7890153408462529,0.7890153408462529,0.05,0.6
0.9495234475981983,0.9234449760765551,0.9587202904738448,0.7904947647793396,0.7904947647793396,0.1,0.45
0.9495234475981983,0.9234449760765551,0.9587202904738448,0.7904947647793396,0.7904947647793396,0.1,0.5
0.9495234475981983,0.9234449760765551,0.9587202904738448,0.7904947647793396,0.7904947647793396,0.1,0.55
0.9495234475981983,0.9234449760765551,0.9587202904738448,0.7904947647793396,0.7904947647793396,0.1,0.6
0.9495234475981983,0.9234449760765551,0.958851928070744,0.7906981338484893,0.7906981338484893,0.15,0.45
0.9495234475981983,0.9234449760765551,0.958851928070744,0.7906981338484893,0.7906981338484893,0.15,0.5
0.9495234475981983,0.9234449760765551,0.958851928070744,0.7906981338484893,0.7906981338484893,0.15,0.55
0.9495234475981983,0.9234449760765551,0.958851928070744,0.7906981338484893,0.7906981338484893,0.15,0.6
0.9495234475981983,0.9234449760765551,0.9589847959255582,0.7909034035631449,0.7909034035631449,0.2,0.45
0.9495234475981983,0.9234449760765551,0.9589847959255582,0.7909034035631449,0.7909034035631449,0.2,0.5
0.9495234475981983,0.9234449760765551,0.9589847959255582,0.7909034035631449,0.7909034035631449,0.2,0.55
0.9495234475981983,0.9234449760765551,0.9589847959255582,0.7909034035631449,0.7909034035631449,0.2,0.6
