pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-11427472007,40.3066029,-76.887094,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.887094 40.3066029),1092.9318955603671,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472008,40.3053058,-76.8876013,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8876013 40.3053058),1078.09332286196,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472009,40.3039292,-76.8881426,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8881426 40.3039292),1085.3895533215361,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472010,40.3026424,-76.8886522,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8886522 40.3026424),1113.3700160409762,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472011,40.3013158,-76.8891776,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8891776 40.3013158),1161.7652971759824,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472012,40.3002535,-76.8895287,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8895287 40.3002535),1207.454251055673,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472013,40.2993519,-76.8897235,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8897235 40.2993519),1245.7338309561171,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472014,40.2986488,-76.889814,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.889814 40.2986488),1275.4216437469804,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472015,40.2977247,-76.8898458,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8898458 40.2977247),1313.677835415281,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472016,40.2968713,-76.8896193,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8896193 40.2968713),1335.4715743026056,False,AI_DET_pa_m_4007642_sw_18_060_20220704_3,0.083922304213047
OSM-11427472017,40.2955303,-76.8891077,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8891077 40.2955303),1300.5023154849034,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472018,40.2948478,-76.8888442,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8888442 40.2948478),1275.617912200627,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
OSM-11427472019,40.2941175,-76.8885729,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8885729 40.2941175),1254.872262028579,False,AI_DET_pa_m_4007641_se_18_060_20220510_2,0.0894725471735
