pole_id,lat,lon,nearest_lat,nearest_lon,delta_lat,delta_lon
AI_DET_pa_m_4007641_se_18_060_20220510_1,40.3023283141174,-76.88796522586516,40.3026424,-76.8886522,-0.0003140858826000681,0.0006869741348367597
AI_DET_pa_m_4007641_se_18_060_20220510_2,40.302273697613366,-76.88800011420619,40.3026424,-76.8886522,-0.00036870238663766486,0.0006520857938028257
AI_DET_pa_m_4007642_sw_18_060_20220704_3,40.30971380517413,-76.88972577593759,40.3095995,-76.8865006,0.00011430517412946983,-0.003225175937586755
AI_DET_pa_m_4007642_sw_18_060_20220704_4,40.30399130489247,-76.83917543704985,40.3112178,-76.8372556,-0.00722649510753115,-0.0019198370498401118
AI_DET_pa_m_4007642_sw_18_060_20220704_5,40.30399903386435,-76.83925653078411,40.3112178,-76.8372556,-0.007218766135650867,-0.0020009307841064583
AI_DET_pa_m_4007642_sw_18_060_20220704_6,40.29936920158095,-76.88600595168936,40.3002535,-76.8895287,-0.0008842984190451375,0.0035227483106439195
AI_DET_pa_m_4007642_sw_18_060_20220704_7,40.27300385508082,-76.83045274103891,40.2669962,-76.8314445,0.006007655080821905,0.0009917589610921596
AI_DET_pa_m_4007642_sw_18_060_20220704_8,40.27308489874631,-76.83045490937488,40.2669962,-76.8314445,0.006088698746310683,0.0009895906251244924
AI_DET_pa_m_4007642_sw_18_060_20220704_9,40.273257594184045,-76.82719873755958,40.266928,-76.8283652,0.006329594184045106,0.0011664624404090773
AI_DET_pa_m_4007642_sw_18_060_20220704_10,40.272918291685535,-76.8304515542689,40.2669962,-76.8314445,0.005922091685533815,0.000992945731098871
AI_DET_pa_m_4007649_ne_18_060_20220510_11,40.23989602781972,-76.95023487183875,40.2329703,-76.9561797,0.006925727819719896,0.005944828161261739
AI_DET_pa_m_4007649_ne_18_060_20220510_12,40.22058767899194,-76.9371754531945,40.2259707,-76.930846,-0.0053830210080576535,-0.006329453194496182
AI_DET_pa_m_4007649_ne_18_060_20220510_13,40.21049334951983,-76.92985325035478,40.206388,-76.9315238,0.004105349519832657,0.0016705496452118496
AI_DET_pa_m_4007649_ne_18_060_20220510_14,40.193269090440026,-76.9536347684853,40.1956614,-76.9514418,-0.002392309559972716,-0.0021929684853034814
AI_DET_pa_m_4007649_ne_18_060_20220510_15,40.19323142523599,-76.9537320671795,40.1956614,-76.9514418,-0.002429974764005749,-0.0022902671795037577
AI_DET_pa_m_4007650_ne_18_060_20220704_16,40.25503638427941,-76.76885074543024,40.2401727,-76.7688357,0.014863684279404765,-1.5045430245663738e-05
AI_DET_pa_m_4007650_ne_18_060_20220704_17,40.255044130622906,-76.76893397778746,40.2401727,-76.7688357,0.014871430622903858,-9.827778745830074e-05
AI_DET_pa_m_4007650_ne_18_060_20220704_18,40.2526840347347,-76.7686246624322,40.2401727,-76.7688357,0.012511334734696788,0.0002110375677943921
AI_DET_pa_m_4007650_ne_18_060_20220704_19,40.24726385866897,-76.79846689859818,40.243659,-76.7978075,0.0036048586689716444,-0.000659398598173766
AI_DET_pa_m_4007650_ne_18_060_20220704_20,40.24086594326145,-76.80003928895175,40.2434829,-76.8001722,-0.0026169567385494474,0.0001329110482544138
AI_DET_pa_m_4007650_ne_18_060_20220704_21,40.23789768947277,-76.8032391332544,40.243191,-76.8042855,-0.005293310527235917,0.0010463667456122039
AI_DET_pa_m_4007650_ne_18_060_20220704_22,40.226607203658986,-76.80340513437312,40.231249,-76.8038221,-0.004641796341012139,0.0004169656268828703
AI_DET_pa_m_4007650_ne_18_060_20220704_23,40.21108707893339,-76.76261174216896,40.1998188,-76.7697095,0.011268278933386,0.007097757831047602
AI_DET_pa_m_4007650_ne_18_060_20220704_24,40.20196364884356,-76.76899600956746,40.1998188,-76.7697095,0.0021448488435567015,0.0007134904325454272
