pole_id,lat,lon,state,status,inspection_date,source,pole_type,voltage,operator,material,height,geometry,distance_m,matched,nearest_detection_id,nearest_detection_conf
OSM-11424346917,40.2291659,-76.8410503,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8410503 40.2291659),995.2993471636278,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346918,40.2296335,-76.8418874,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8418874 40.2296335),1067.7397247610745,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346919,40.2300902,-76.8427125,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8427125 40.2300902),1141.264109225007,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346920,40.2305491,-76.8435497,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8435497 40.2305491),1217.5635185689819,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346921,40.231001,-76.844374,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.844374 40.231001),1294.0852312621448,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346922,40.2314623,-76.8452029,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8452029 40.2314623),1372.3374079339335,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346923,40.231919,-76.8460294,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8460294 40.231919),1451.2985703975273,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346924,40.2323807,-76.8468556,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8468556 40.2323807),1531.2011231551064,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346925,40.2328409,-76.8476824,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8476824 40.2328409),1611.8464687908272,False,AI_DET_pa_m_4007650_nw_18_060_20220704_35,0.0815037637948989
OSM-11424346926,40.2333126,-76.8485,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8485 40.2333126),1671.4572674025453,False,AI_DET_pa_m_4007650_nw_18_060_20220704_28,0.0945918634533882
OSM-11424346927,40.233793,-76.8492898,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8492898 40.233793),1722.6079901450648,False,AI_DET_pa_m_4007650_nw_18_060_20220704_28,0.0945918634533882
OSM-11424346928,40.2346858,-76.8507243,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8507243 40.2346858),1671.3095209093708,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346929,40.2350866,-76.8513392,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8513392 40.2350866),1632.3390400178669,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346930,40.2355483,-76.8520238,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8520238 40.2355483),1591.860114872258,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346931,40.2360761,-76.8527859,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8527859 40.2360761),1550.683918749169,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346932,40.2366002,-76.8535345,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8535345 40.2366002),1514.3215136692997,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346933,40.2371265,-76.8542866,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8542866 40.2371265),1481.9430393135376,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346934,40.237658,-76.8550374,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8550374 40.237658),1454.4043039467322,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346935,40.2381901,-76.8557925,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8557925 40.2381901),1431.361065088825,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346936,40.2387145,-76.8565509,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8565509 40.2387145),1412.6019786264776,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346937,40.2392439,-76.8573059,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8573059 40.2392439),1399.5830414738011,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346938,40.239772,-76.8580595,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8580595 40.239772),1391.8853839670535,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346939,40.2402989,-76.8588056,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8588056 40.2402989),1389.91933909679,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346940,40.2407969,-76.8595447,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8595447 40.2407969),1391.178203723154,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346941,40.2413305,-76.8602686,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8602686 40.2413305),1401.437296597834,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346942,40.2418888,-76.8609964,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8609964 40.2418888),1418.9432256299106,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346943,40.2424648,-76.861685,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.861685 40.2424648),1444.8876035382493,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
OSM-11424346944,40.2430711,-76.8623416,PA,verified,2024-01-01,OpenStreetMap,tower,,,,,POINT (-76.8623416 40.2430711),1479.6871747905311,False,AI_DET_pa_m_4007650_nw_18_060_20220704_31,0.1039152145385742
