pole_id,lat,lon,nearest_lat,nearest_lon,delta_lat,delta_lon
AI_DET_pa_m_4007641_se_18_060_20220510_1,40.294858314117405,-76.87380522586515,40.2928866,-76.8879669,0.001971714117402712,0.014161674134840041
AI_DET_pa_m_4007641_se_18_060_20220510_2,40.29480369761337,-76.87384011420619,40.2928866,-76.8879669,0.0019170976133651152,0.014126785793806107
AI_DET_pa_m_4007642_sw_18_060_20220704_3,40.302243805174136,-76.87556577593759,40.3088443,-76.8782003,-0.006600494825860892,0.0026345240624152666
AI_DET_pa_m_4007642_sw_18_060_20220704_4,40.29652130489247,-76.82501543704984,40.3135012,-76.8238182,-0.016979895107525067,-0.0011972370498369855
AI_DET_pa_m_4007642_sw_18_060_20220704_5,40.29652903386435,-76.82509653078411,40.3135012,-76.8238182,-0.016972166135644784,-0.001278330784103332
AI_DET_pa_m_4007642_sw_18_060_20220704_6,40.29189920158096,-76.87184595168935,40.2894756,-76.8874409,0.0024236015809577793,0.01559494831064967
AI_DET_pa_m_4007642_sw_18_060_20220704_7,40.265533855080825,-76.81629274103891,40.2670767,-76.8164536,-0.0015428449191716709,0.0001608589610953004
AI_DET_pa_m_4007642_sw_18_060_20220704_8,40.26561489874632,-76.81629490937488,40.2670767,-76.8164536,-0.0014618012536757874,0.0001586906251276332
AI_DET_pa_m_4007642_sw_18_060_20220704_9,40.26578759418405,-76.81303873755958,40.2671112,-76.8132337,-0.0013236058159549202,0.00019496244041761202
AI_DET_pa_m_4007642_sw_18_060_20220704_10,40.26544829168554,-76.8162915542689,40.2670767,-76.8164536,-0.0016284083144597616,0.00016204573110201181
AI_DET_pa_m_4007649_ne_18_060_20220510_11,40.23242602781972,-76.93607487183874,40.2265566,-76.930939,0.005869427819717998,-0.005135871838746198
AI_DET_pa_m_4007649_ne_18_060_20220510_12,40.21311767899194,-76.9230154531945,40.2052059,-76.9255575,0.0079117789919394,0.002542046805501741
AI_DET_pa_m_4007649_ne_18_060_20220510_13,40.20302334951983,-76.91569325035478,40.2040708,-76.9198266,-0.0010474504801649687,0.0041333496452153895
AI_DET_pa_m_4007649_ne_18_060_20220510_14,40.18579909044003,-76.9394747684853,40.1842212,-76.9420886,0.0015778904400249871,0.002613831514707954
AI_DET_pa_m_4007649_ne_18_060_20220510_15,40.185761425236,-76.9395720671795,40.1842212,-76.9420886,0.0015402252359990598,0.0025165328205076776
AI_DET_pa_m_4007650_ne_18_060_20220704_16,40.247566384279416,-76.75469074543024,40.2401727,-76.7688357,0.007393684279414003,0.014144954569758283
AI_DET_pa_m_4007650_ne_18_060_20220704_17,40.24757413062291,-76.75477397778745,40.2401727,-76.7688357,0.007401430622905991,0.014061722212545646
AI_DET_pa_m_4007650_ne_18_060_20220704_18,40.2452140347347,-76.7544646624322,40.2401727,-76.7688357,0.005041334734698921,0.01437103756779834
AI_DET_pa_m_4007650_ne_18_060_20220704_19,40.239793858668975,-76.78430689859817,40.2400535,-76.7852218,-0.0002596413310271828,0.0009149014018277057
AI_DET_pa_m_4007650_ne_18_060_20220704_20,40.23339594326145,-76.78587928895175,40.2343217,-76.7872766,-0.0009257567385532184,0.0013973110482510265
AI_DET_pa_m_4007650_ne_18_060_20220704_21,40.23042768947277,-76.78907913325439,40.2305513,-76.7905793,-0.00012361052723264265,0.001500166745614706
AI_DET_pa_m_4007650_ne_18_060_20220704_22,40.21913720365899,-76.78924513437312,40.229208,-76.7905498,-0.0100707963410116,0.0013046656268755896
AI_DET_pa_m_4007650_ne_18_060_20220704_23,40.20361707893339,-76.74845174216895,40.1994307,-76.7692743,0.004186378933390245,0.020822557831053246
AI_DET_pa_m_4007650_ne_18_060_20220704_24,40.19449364884356,-76.75483600956746,40.1994307,-76.7692743,-0.004937051156439054,0.01443829043255107
AI_DET_pa_m_4007650_ne_18_060_20220704_25,40.18954242703696,-76.74804905806015,40.1994307,-76.7692743,-0.009888272963038958,0.02122524193985953
AI_DET_pa_m_4007650_ne_18_060_20220704_26,40.18960126634281,-76.74803037929794,40.1994307,-76.7692743,-0.009829433657188247,0.02124392070206227
AI_DET_pa_m_4007650_ne_18_060_20220704_27,40.18734320293492,-76.7656275456032,40.1994307,-76.7692743,-0.01208749706508172,0.0036467543968115024
AI_DET_pa_m_4007650_nw_18_060_20220704_28,40.22680388780508,-76.81151856227476,40.2293102,-76.8114564,-0.0025063121949173706,-6.216227475874803e-05
AI_DET_pa_m_4007650_nw_18_060_20220704_29,40.226880383777946,-76.81152353903202,40.2293102,-76.8114564,-0.002429816222054626,-6.713903202637539e-05
AI_DET_pa_m_4007650_nw_18_060_20220704_30,40.22027700110348,-76.85164731960153,40.2224373,-76.8451767,-0.002160298896519919,-0.006470619601529393
AI_DET_pa_m_4007650_nw_18_060_20220704_31,40.22033081221596,-76.85166237321653,40.2224373,-76.8451767,-0.002106487784040212,-0.0064856732165310405
AI_DET_pa_m_4007650_nw_18_060_20220704_32,40.22018714751386,-76.85163275348934,40.2224373,-76.8451767,-0.0022501524861411326,-0.0064560534893445265
AI_DET_pa_m_4007650_nw_18_060_20220704_33,40.21765017866503,-76.85703729613745,40.218531,-76.8645771,-0.0008808213349666971,0.007539803862556482
AI_DET_pa_m_4007650_nw_18_060_20220704_34,40.21768986335678,-76.85709052716696,40.218531,-76.8645771,-0.0008411366432170553,0.007486572833045102
AI_DET_pa_m_4007650_nw_18_060_20220704_35,40.21848417082034,-76.81124255276794,40.2150786,-76.8123173,0.0034055708203410973,0.0010747472320673523
