epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3484.31,1.80322,2.12246,1.00518,0.40907,0.3754,0.49894,0.30838,1.56703,3.65343,0.79646,0.000321145,0.000321145,0.000321145
43,3567.88,1.82712,2.12822,1.01218,0.47754,0.29501,0.36409,0.16778,1.42257,3.49923,0.79989,0.000319763,0.000319763,0.000319763
44,3651.23,1.72858,2.04804,0.99419,0.71222,0.89371,0.77187,0.53286,1.25821,5.86183,0.72476,0.000318352,0.000318352,0.000318352
45,3734.17,1.69857,2.01034,0.99018,0.63656,0.7679,0.70539,0.47711,1.25075,4.81783,0.726,0.000316912,0.000316912,0.000316912
46,3817.01,1.7178,2.02531,0.98943,0.70099,0.82863,0.76086,0.43836,1.63409,4.37956,0.77696,0.000315444,0.000315444,0.000315444
47,3899.74,1.72077,2.03881,0.99486,0.52237,0.89154,0.67931,0.40179,1.47352,4.80295,0.74334,0.000313947,0.000313947,0.000313947
48,3982.52,1.70462,1.96992,0.98732,0.45743,0.6858,0.58166,0.33807,1.45274,5.76538,0.74945,0.000312422,0.000312422,0.000312422
49,4065.45,1.70637,1.97563,0.99167,0.5309,0.59653,0.60424,0.37089,1.31405,4.40367,0.73034,0.00031087,0.00031087,0.00031087
50,4148.58,1.70362,1.97297,0.98544,0.5544,0.67896,0.64547,0.41633,1.35185,4.54538,0.72878,0.00030929,0.00030929,0.00030929
51,4231.76,1.62773,1.92747,0.97247,0.62379,0.64022,0.66811,0.41771,1.34045,4.15703,0.76124,0.000307684,0.000307684,0.000307684
52,4314.7,1.71015,1.97948,0.98764,0.42589,0.67679,0.56854,0.35728,1.31422,3.62612,0.74279,0.00030605,0.00030605,0.00030605
53,4397.78,1.69385,1.94365,0.98944,0.69837,0.84816,0.75054,0.4889,1.25745,5.30041,0.71366,0.00030439,0.00030439,0.00030439
54,4481.19,1.64661,1.93623,0.97573,0.74186,0.86029,0.79943,0.56637,1.26157,4.73464,0.72055,0.000302705,0.000302705,0.000302705
55,4565.91,1.63911,1.93049,0.97594,0.49288,0.66811,0.62135,0.40468,1.34847,4.44783,0.72677,0.000300993,0.000300993,0.000300993
56,4648.53,1.64686,1.94826,0.97384,0.52099,0.39696,0.47919,0.19265,1.84767,4.26691,0.75608,0.000299256,0.000299256,0.000299256
57,4732.51,1.65921,1.90898,0.97339,0.5912,0.86551,0.74185,0.42757,1.20931,3.76539,0.7155,0.000297494,0.000297494,0.000297494
58,4815.79,1.61,1.91735,0.96638,0.70117,0.73803,0.7302,0.50843,1.2161,4.87397,0.72883,0.000295708,0.000295708,0.000295708
59,4898.26,1.60412,1.87862,0.97124,0.54166,0.59988,0.62285,0.4148,1.28653,4.34408,0.75051,0.000293897,0.000293897,0.000293897
60,4980.75,1.56205,1.82965,0.96254,0.47294,0.28416,0.39265,0.22174,1.50697,2.90286,0.81552,0.000292063,0.000292063,0.000292063
61,5063.75,1.55332,1.85014,0.95774,0.73776,0.90239,0.79731,0.51166,1.34877,5.84256,0.70466,0.000290205,0.000290205,0.000290205
62,5146.96,1.58,1.82659,0.96718,0.76317,0.90172,0.84482,0.57325,1.11979,5.9259,0.7039,0.000288323,0.000288323,0.000288323
63,5229.03,1.57642,1.85,0.96251,0.71737,0.85466,0.7773,0.53826,1.25447,5.05013,0.7372,0.000286419,0.000286419,0.000286419
64,5314.19,1.54796,1.82933,0.95488,0.65409,0.71371,0.70306,0.42447,1.34223,3.52981,0.77021,0.000284493,0.000284493,0.000284493
65,5398.83,1.54878,1.7928,0.95447,0.74582,0.90672,0.78538,0.50506,1.3808,6.11675,0.76321,0.000282545,0.000282545,0.000282545
66,5481.94,1.56376,1.80769,0.9563,0.74753,0.90558,0.80162,0.565,1.17383,5.13232,0.72639,0.000280575,0.000280575,0.000280575
67,5564.7,1.58565,1.83717,0.96592,0.5239,0.63124,0.61721,0.35935,1.4917,3.78056,0.75957,0.000278584,0.000278584,0.000278584
68,5647.19,1.5752,1.8069,0.96212,0.73732,0.84635,0.78518,0.40233,1.69405,5.89403,0.79928,0.000276572,0.000276572,0.000276572
69,5729.11,1.59129,1.83749,0.96617,0.74819,0.90022,0.81616,0.64834,1.05834,5.20541,0.71502,0.00027454,0.00027454,0.00027454
70,5812.24,1.55296,1.78068,0.95284,0.72125,0.8812,0.79679,0.44928,1.3653,5.34889,0.72376,0.000272488,0.000272488,0.000272488
71,5894.92,1.51947,1.80012,0.95123,0.76925,0.90889,0.84689,0.61906,1.2026,6.73952,0.67582,0.000270416,0.000270416,0.000270416
72,5976.93,1.52742,1.78567,0.95586,0.76456,0.86117,0.82205,0.58024,1.13747,5.22107,0.71766,0.000268325,0.000268325,0.000268325
73,6059.46,1.56053,1.82602,0.95545,0.75735,0.90721,0.81376,0.44045,1.39866,6.54827,0.72407,0.000266216,0.000266216,0.000266216
74,6142.59,1.52362,1.72627,0.95174,0.74154,0.90866,0.78597,0.60556,1.02459,6.77154,0.71511,0.000264088,0.000264088,0.000264088
75,6224.7,1.4882,1.7179,0.94537,0.75217,0.90456,0.81078,0.67172,0.93512,4.9087,0.71222,0.000261943,0.000261943,0.000261943
76,6308.52,1.45382,1.72139,0.9367,0.75457,0.91757,0.82985,0.66847,0.90125,8.40121,0.67072,0.00025978,0.00025978,0.00025978
77,6390.91,1.47735,1.72245,0.9488,0.75654,0.9154,0.81458,0.52514,1.17457,7.31887,0.71425,0.0002576,0.0002576,0.0002576
78,6474.46,1.51322,1.78546,0.94948,0.76648,0.88937,0.83214,0.60249,1.16343,5.57772,0.70145,0.000255404,0.000255404,0.000255404
79,6556.55,1.42682,1.68851,0.93663,0.76781,0.911,0.84096,0.58482,1.08885,5.6139,0.69919,0.000253192,0.000253192,0.000253192
80,6639.46,1.50358,1.74932,0.94441,0.7643,0.90889,0.84499,0.56039,1.20193,5.83681,0.73537,0.000250964,0.000250964,0.000250964
81,6722.2,1.51099,1.73567,0.94785,0.75389,0.91032,0.83666,0.50704,1.36116,5.73663,0.71072,0.000248721,0.000248721,0.000248721
82,6804.65,1.43293,1.65919,0.93304,0.7539,0.89805,0.82757,0.49139,1.32067,5.42783,0.67788,0.000246463,0.000246463,0.000246463
83,6886.64,1.43619,1.69472,0.93572,0.76393,0.90239,0.8474,0.49712,1.47363,5.50128,0.71844,0.000244191,0.000244191,0.000244191
84,6969.05,1.4391,1.67683,0.93283,0.76511,0.87613,0.82968,0.48968,1.40855,4.99904,0.69353,0.000241905,0.000241905,0.000241905
85,7051.27,1.4884,1.67006,0.94328,0.7584,0.91323,0.84315,0.51063,1.35879,7.55413,0.69302,0.000239606,0.000239606,0.000239606
86,7133.59,1.43369,1.64707,0.93026,0.75817,0.91974,0.83095,0.69894,0.83796,7.45957,0.66888,0.000237295,0.000237295,0.000237295
87,7215.06,1.47588,1.72283,0.93882,0.75979,0.90889,0.83514,0.53622,1.29671,4.92393,0.67522,0.000234971,0.000234971,0.000234971
88,7297.97,1.43839,1.70132,0.93711,0.77546,0.90672,0.83646,0.58226,1.10889,5.8755,0.67168,0.000232635,0.000232635,0.000232635
89,7380.21,1.39886,1.63406,0.93436,0.74914,0.91339,0.83141,0.46922,1.53318,5.57449,0.68047,0.000230287,0.000230287,0.000230287
90,7461.56,1.38891,1.63301,0.92828,0.75282,0.90456,0.82821,0.4556,1.56377,5.12168,0.68671,0.000227929,0.000227929,0.000227929
91,7543.43,1.39667,1.64399,0.92907,0.76585,0.90456,0.8417,0.57306,1.18644,6.57414,0.681,0.00022556,0.00022556,0.00022556
92,7626.27,1.46599,1.64335,0.93877,0.76209,0.91106,0.83922,0.59565,1.17036,6.54227,0.66928,0.000223181,0.000223181,0.000223181
93,7708.74,1.38465,1.65609,0.92706,0.75811,0.91974,0.84439,0.54916,1.27352,5.77368,0.67399,0.000220793,0.000220793,0.000220793
94,7791.17,1.38171,1.62606,0.92423,0.76145,0.90239,0.85159,0.5401,1.36865,5.27473,0.68148,0.000218396,0.000218396,0.000218396
95,7874.54,1.4096,1.62441,0.92985,0.76528,0.91323,0.85967,0.70614,0.80184,7.74037,0.67096,0.000215991,0.000215991,0.000215991
96,7956.73,1.3849,1.60542,0.92777,0.77358,0.90456,0.85697,0.70535,0.86341,6.35832,0.67417,0.000213577,0.000213577,0.000213577
97,8039.56,1.39987,1.57756,0.92381,0.75898,0.9154,0.85295,0.65883,0.96353,7.0435,0.69856,0.000211156,0.000211156,0.000211156
98,8123.18,1.36481,1.59974,0.92039,0.80131,0.88937,0.85409,0.67355,0.91086,5.1688,0.68244,0.000208728,0.000208728,0.000208728
99,8205.69,1.35649,1.56863,0.91975,0.76947,0.9154,0.85982,0.71675,0.81307,6.49257,0.68078,0.000206293,0.000206293,0.000206293
100,8289.32,1.38678,1.59417,0.92473,0.76842,0.91323,0.84995,0.69267,0.85568,7.01799,0.67929,0.000203852,0.000203852,0.000203852
101,8371.54,1.36976,1.56206,0.92303,0.7815,0.89224,0.8472,0.65723,0.96663,6.07051,0.67043,0.000201406,0.000201406,0.000201406
102,8453.97,1.3741,1.56716,0.9245,0.75599,0.92191,0.84813,0.63985,1.03862,7.19739,0.67065,0.000198955,0.000198955,0.000198955
103,8537.69,1.35208,1.59995,0.92029,0.76913,0.90672,0.84574,0.50604,1.38654,6.1082,0.67749,0.000196499,0.000196499,0.000196499
104,8620.53,1.32739,1.53837,0.91273,0.78243,0.90456,0.85172,0.68386,0.85728,6.52306,0.66929,0.000194039,0.000194039,0.000194039
105,8703.04,1.33483,1.55734,0.91939,0.76173,0.91106,0.8429,0.62938,0.92542,8.679,0.64933,0.000191576,0.000191576,0.000191576
106,8785.47,1.37373,1.53411,0.92175,0.76069,0.91706,0.84939,0.61434,1.06389,8.75175,0.65708,0.00018911,0.00018911,0.00018911
107,8867.36,1.35624,1.55634,0.92234,0.76619,0.91106,0.84945,0.60206,1.18393,6.9878,0.66953,0.000186641,0.000186641,0.000186641
108,8949.98,1.33851,1.56498,0.9144,0.76377,0.91172,0.84977,0.63849,1.05932,7.01041,0.67047,0.00018417,0.00018417,0.00018417
109,9032.13,1.32696,1.53436,0.91801,0.75751,0.91323,0.85383,0.66276,0.97302,6.68343,0.66958,0.000181697,0.000181697,0.000181697
110,9113.91,1.34174,1.53711,0.91326,0.76306,0.91757,0.84719,0.50858,1.38076,7.41336,0.66705,0.000179224,0.000179224,0.000179224
111,9195.49,1.29688,1.48037,0.9144,0.77105,0.91317,0.85406,0.70246,0.88162,7.15613,0.65902,0.00017675,0.00017675,0.00017675
112,9278.03,1.29238,1.49602,0.91195,0.75836,0.91974,0.84714,0.71534,0.79467,8.59064,0.65776,0.000174276,0.000174276,0.000174276
